"","Trials","ProbR","ID","role","cond","reward","choise","partner.choise","sender.dec","receiver.dec","phase","onset","state","event","image_name"
"197",66,80,"s53A","sender","comp",0,2,2,"truth","trust","2",1511.0563,"waiting",197,"s53A+beta+event_197+tlrc"
"198",66,80,"s53A","sender","comp",0,2,2,"truth","trust","FB",1518.0563,"feedback",198,"s53A+beta+event_198+tlrc"
"199",67,90,"s53A","receiver","coop",100,2,2,"truth","trust","1",1529.0616,"waiting",199,"s53A+beta+event_199+tlrc"
"200",67,90,"s53A","receiver","coop",100,2,2,"truth","trust","2",1536.0616,"active",200,"s53A+beta+event_200+tlrc"
"201",67,90,"s53A","receiver","coop",100,2,2,"truth","trust","FB",1543.0616,"feedback",201,"s53A+beta+event_201+tlrc"
"202",68,85,"s53A","receiver","comp",0,1,2,"truth","doubt","1",1550.067,"waiting",202,"s53A+beta+event_202+tlrc"
"203",68,85,"s53A","receiver","comp",0,1,2,"truth","doubt","2",1557.067,"active",203,"s53A+beta+event_203+tlrc"
"204",68,85,"s53A","receiver","comp",0,1,2,"truth","doubt","FB",1564.067,"feedback",204,"s53A+beta+event_204+tlrc"
"205",69,15,"s53A","sender","coop",100,1,1,"truth","trust","1",1574.0717,"active",205,"s53A+beta+event_205+tlrc"
"206",69,15,"s53A","sender","coop",100,1,1,"truth","trust","2",1581.0717,"waiting",206,"s53A+beta+event_206+tlrc"
"207",69,15,"s53A","sender","coop",100,1,1,"truth","trust","FB",1588.0717,"feedback",207,"s53A+beta+event_207+tlrc"
"208",70,60,"s53A","sender","comp",0,2,2,"truth","trust","1",1598.0772,"active",208,"s53A+beta+event_208+tlrc"
"209",70,60,"s53A","sender","comp",0,2,2,"truth","trust","2",1605.0772,"waiting",209,"s53A+beta+event_209+tlrc"
"210",70,60,"s53A","sender","comp",0,2,2,"truth","trust","FB",1612.0772,"feedback",210,"s53A+beta+event_210+tlrc"
"211",71,75,"s53A","receiver","coop",100,2,2,"truth","trust","1",1619.0826,"waiting",211,"s53A+beta+event_211+tlrc"
"212",71,75,"s53A","receiver","coop",100,2,2,"truth","trust","2",1626.0826,"active",212,"s53A+beta+event_212+tlrc"
"213",71,75,"s53A","receiver","coop",100,2,2,"truth","trust","FB",1633.0826,"feedback",213,"s53A+beta+event_213+tlrc"
"214",72,20,"s53A","receiver","comp",0,1,1,"truth","trust","1",1643.0875,"waiting",214,"s53A+beta+event_214+tlrc"
